battery,camera,memory,price,processor,screen,title,warranty
4500 mAh Lithium-ion Battery,64 MP + 12 MP +12 MP + VGA Depth Camera | 10MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹77,999",Exynos 990 Processor,17.02 cm (6.7 inch) Quad HD+ Display,"Samsung Galaxy S20+ (Cosmic Black, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
3700 mAh Battery,48MP + 8MP | 48MP(F2.0) + 8MP(Ultra Wide/F2.2) + TOF (Time-of-Flight) 3D-Depth Rotating Camera,8 GB RAM | 128 GB ROM,"₹41,999",Qualcomm Snapdragon 730G Octa-Core Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy A80 (Ghost White, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4500 mAh Lithium-ion Battery,64 MP + 12 MP +12 MP + VGA Depth Camera | 10MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹77,999",Exynos 990 Processor,17.02 cm (6.7 inch) Quad HD+ Display,"Samsung Galaxy S20+ (Cosmic Gray, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
5000 mAh Lithium-ion Battery,108 MP + 48 MP + 12 MP + VGA Depth Camera | 40MP Front Camera,12 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹97,999",Exynos 990 Processor,17.53 cm (6.9 inch) Quad HD+ Display,"Samsung Galaxy S20 Ultra (Cosmic Gray, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
3400 mAh Lithium-ion Battery,16MP + 12MP | 10MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"₹57,800",Exynos 9 9820 Processor,15.49 cm (6.1 inch) Quad HD+ Display,"Samsung Galaxy S10 (Prism Blue, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
3400 mAh Lithium-ion Battery,16MP + 12MP | 10MP Front Camera,8 GB RAM | 512 GB ROM | Expandable Upto 512 GB,"₹63,400",Exynos 9 9820 Processor,15.49 cm (6.1 inch) Quad HD+ Display,"Samsung Galaxy S10 (Prism White, 512 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
3000 mAh Battery,12MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"₹49,990",Exynos 8895 Octa Core 2.3GHz Processor,14.73 cm (5.8 inch) Quad HD+ Display,"Samsung Galaxy S8 (Midnight Black, 64 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4000 mAh Lithium-ion Battery,64MP + 12MP + 12MP | 10MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹70,499",Exynos 990 Processor,15.75 cm (6.2 inch) Quad HD+ Display,"Samsung Galaxy S20 (Cosmic Gray, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
0 0 0 208MHz Processor,800 mAh Battery,NA ROM,"₹1,710",1 Year Manufacturer Warranty,5.08 cm (2 inch) NA Display,Samsung Guru Music 2,
3700 mAh Battery,48MP + 8MP | 48MP(F2.0) + 8MP(Ultra Wide/F2.2) + TOF (Time-of-Flight) 3D-Depth Rotating Camera,8 GB RAM | 128 GB ROM,"₹41,999",Qualcomm Snapdragon 730G Octa-Core Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy A80 (Angel Gold, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
3000 mAh Battery,12MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB,"₹24,999",Exynos 9810 Processor,14.73 cm (5.8 inch) Quad HD+ Display,"Samsung Galaxy S9 (Midnight Black, 64 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
3500 mAh Battery,12MP + 12MP | 8MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 400 GB,"₹30,999",Exynos 9810 Processor,15.75 cm (6.2 inch) Quad HD+ Display,"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4000 mAh Li-ion Battery,48MP + 8MP + 5MP | 32MP Front Camera,4 GB RAM | 128 GB ROM,"₹18,570",Exynos 9611 Processor,16.26 cm (6.4 inch) Full HD+ Display,"Samsung Galaxy A50s (Prism Crush Black, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
